id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Desert Highway,Red Dust,rock,intense,0.88,144,0.52,0.70,0.12
12,Rainy Afternoon,The Soft Keys,jazz,relaxed,0.31,85,0.68,0.50,0.91
13,Neon Pulse,Gridlock,synthwave,moody,0.80,120,0.44,0.78,0.15
14,Mountain Echo,Pine Hallow,ambient,chill,0.22,55,0.70,0.38,0.95
15,Dance All Night,Luxe Wave,pop,happy,0.90,128,0.88,0.92,0.07
16,Study Session,LoRoom,lofi,focused,0.38,75,0.55,0.57,0.80
17,Basement Show,Static Youth,rock,intense,0.86,158,0.41,0.65,0.09
18,Golden Hour,Mellow Fuse,indie pop,happy,0.65,112,0.85,0.74,0.45
19,Still Water,Orbit Bloom,ambient,relaxed,0.18,50,0.72,0.33,0.97
20,Late Night Ride,Neon Echo,synthwave,moody,0.72,105,0.46,0.76,0.20
